Id;Stato;Anno;Creato;Chiusa;DescrizioneBreve;Categoria
655788;risolta;2023;2023-05-08;2023-05-25;App Municipium;Buche
656797;risolta;2023;2023-05-10;2023-06-13;App Municipium;Buche
656796;risolta;2023;2023-05-10;2023-05-11;App Municipium;Buche
656794;risolta;2023;2023-05-10;2023-06-13;App Municipium;Buche
656782;risolta;2023;2023-05-10;2023-06-13;App Municipium;Buche
656773;risolta;2023;2023-05-10;2023-05-11;App Municipium;Buche
656761;risolta;2023;2023-05-10;2023-05-11;App Municipium;Buche
656760;risolta;2023;2023-05-10;2023-06-13;App Municipium;Buche
656732;risolta;2023;2023-05-10;2023-06-13;App Municipium;Buche
656731;risolta;2023;2023-05-10;2023-06-13;App Municipium;Buche
656686;aperta;2023;2023-05-10;;App Municipium;Buche
656676;in carico;2023;2023-05-10;;App Municipium;Buche
656664;risolta;2023;2023-05-10;2023-05-11;App Municipium;Buche
656660;risolta;2023;2023-05-10;2023-05-15;App Municipium;Buche
656618;risolta;2023;2023-05-10;2023-06-12;App Municipium;Buche
656539;risolta;2023;2023-05-10;2023-05-17;App Municipium;Buche
656534;risolta;2023;2023-05-10;2023-05-16;App Municipium;Buche
656848;risolta;2023;2023-05-10;2023-06-05;App Municipium;Tombini
656779;risolta;2023;2023-05-10;2023-06-05;App Municipium;Tombini
656740;annullata;2023;2023-05-10;;App Municipium;Tombini
656634;risolta;2023;2023-05-10;2023-06-05;App Municipium;Tombini
656834;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656806;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656805;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656800;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656798;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656795;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656776;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656770;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656767;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656719;risolta;2023;2023-05-10;2023-06-12;App Municipium;Semafori e segnaletica stradale
656711;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656636;risolta;2023;2023-05-10;2023-05-11;App Municipium;Semafori e segnaletica stradale
656849;aperta;2023;2023-05-10;;App Municipium;Verde pubblico
656825;aperta;2023;2023-05-10;;App Municipium;Verde pubblico
656816;aperta;2023;2023-05-10;;App Municipium;Verde pubblico
656809;risolta;2023;2023-05-10;2023-06-05;App Municipium;Verde pubblico
656793;annullata;2023;2023-05-10;;App Municipium;Verde pubblico
656765;chiusa;2023;2023-05-10;2023-05-16;App Municipium;Verde pubblico
656741;risolta;2023;2023-05-10;2023-06-01;App Municipium;Verde pubblico
656723;in carico;2023;2023-05-10;;App Municipium;Verde pubblico
656705;in carico;2023;2023-05-10;;App Municipium;Verde pubblico
656696;risolta;2023;2023-05-10;2023-06-01;App Municipium;Verde pubblico
656683;chiusa;2023;2023-05-10;2023-05-16;App Municipium;Verde pubblico
656813;risolta;2023;2023-05-10;2023-05-11;App Municipium;Arredo urbano
656774;risolta;2023;2023-05-10;2023-05-11;App Municipium;Arredo urbano
656772;in carico;2023;2023-05-10;;App Municipium;Arredo urbano
656747;risolta;2023;2023-05-10;2023-06-12;App Municipium;Arredo urbano
