CodiceCatastale;CodiceIstat;CodiceVia;DUG;DUF;CAP;QuartiereSobborgo
A182;6003;21505;Borgo;Citta' Nuova;15121;Pista
A182;6003;29414;Case Sparse;Cristo;15121;Norberto Rosa
A182;6003;29403;Case Sparse;Europista;15121;Europa
A182;6003;29425;Case Sparse;Orti;15121;Orti
A182;6003;1201;Corso;Acqui;15121;Cristo
A182;6003;15400;Corso;Alfonso Lamarmora;15121;Centro
A182;6003;17600;Corso;Carlo Marx;15121;Cristo
A182;6003;8404;Corso;Cento Cannoni;15121;Centro
A182;6003;9603;Corso;Crimea;15121;Centro
A182;6003;8206;Corso;Felice Cavallotti;15121;Centro
A182;6003;25502;Corso;Giuseppe Romita;15121;Europa
A182;6003;20103;Corso;Monferrato;15121;Centro
A182;6003;15301;Corso;Quattro Novembre;15121;Pista
A182;6003;25401;Corso;Roma;15121;Centro
A182;6003;4602;Corso;Teresio Borsalino;15121;Pista
A182;6003;33303;Corso;Venti Settembre;15121;Pista
A182;6003;17204;Corso;Virginia Marini;15121;Centro
A182;6003;62763;Largo;6 Novembre 1994;15121;Orti
A182;6003;68821;Largo;Ai Caduti Della Battaglia Di Marengo;15122;Spinetta Marengo
A182;6003;34001;Largo;Carlo Arlanti;15122;Cantalupo
A182;6003;8107;Largo;Catania;15121;Orti
A182;6003;3603;Largo;Leonardo Bistolfi;15121;Centro
A182;6003;62716;Largo;Maestri Del Lavoro D'Italia;15121;Centro
A182;6003;62706;Largo;Monsignor Quinto Gho;15122;Spinetta Marengo
A182;6003;62800;Largo;Museo Del Ferro;15121;Centro
A182;6003;32304;Largo;Vicenza;15121;Centro
A182;6003;35604;Localita';Cascinali San Pietro;15122;Casalbagliano
A182;6003;43708;Localita';Cascinali Stampa;15122;Lobbi
A182;6003;29700;Lungo;Tanaro Magenta;15121;Orti
A182;6003;29801;Lungo;Tanaro San Martino;15121;Centro
A182;6003;29854;Lungo;Tanaro Solferino;15121;Centro
A182;6003;100040;Parcheggio;Pietro Caramello;15121;Centro
A182;6003;100016;Passeggiata;Antonino Candido Marco Triches E Matteo Gastaldo;15121;Pista
A182;6003;100041;Passeggiata;Guido Barberis;15121;Pista
A182;6003;62705;Passeggiata;Madre Carolina Beltrami;15121;Centro
A182;6003;62766;Piazza;11 Settembre 2001;15122;Cantalupo
A182;6003;62751;Piazza;Adolfo Baloncieri;15122;Castelceriolo
A182;6003;62821;Piazza;Annibale Caretta;15122;Lobbi
A182;6003;62708;Piazza;Beata Vergine Immacolata;15122;Spinetta Marengo
A182;6003;13354;Piazza;Bruno Mantelli;15121;Europa
A182;6003;62778;Piazza;Caduti Di Nassiriya;15121;Pista
A182;6003;62806;Piazza;Caduti Di Tutte Le Guerre;15122;San Giuliano Nuovo
A182;6003;62779;Piazza;Carlo Boccassi;15121;Norberto Rosa
A182;6003;30553;Piazza;Carlo Torriani;15121;Galimberti
A182;6003;62711;Piazza;Cavalieri Di Vittorio Veneto;15122;San Michele
A182;6003;47502;Piazza;Cesare Battisti In San Giuliano Vecchio;15122;San Giuliano Vecchio
A182;6003;62712;Piazza;Decorati Al Valor Militare;15121;Centro
A182;6003;13365;Piazza;Della Gambarina;15121;Centro
A182;6003;15905;Piazza;Della Liberta';15121;Centro
A182;6003;62707;Piazza;Dell'Aeronautica;15121;Cristo
A182;6003;11404;Piazza;Divina Provvidenza;15121;Orti
A182;6003;29304;Piazza;Don Amilcare Soria;15121;Centro
A182;6003;62807;Piazza;Don Mario Lombardi;15122;Litta Parodi
A182;6003;9801;Piazza;Eugenio Curiel;15121;Spinetta Marengo
A182;6003;62801;Piazza;Fabrizio De Andre';15121;Orti
A182;6003;31305;Piazza;Filippo Turati;15121;Centro
A182;6003;10102;Piazza;Gabriele D'Annunzio;15121;Pista
A182;6003;18018;Piazza;Giacomo Matteotti;15121;Centro
A182;6003;62727;Piazza;Giorgio Ambrosoli;15121;Centro
A182;6003;7205;Piazza;Giosue' Carducci;15121;Centro
A182;6003;62719;Piazza;Giovanni Barrera;15122;Spinetta Marengo
A182;6003;56001;Piazza;Giovanni Dossena In Valle San Bartolomeo;15122;Valle San Bartolomeo
A182;6003;62713;Piazza;Giovanni Maino;15122;Spinetta Marengo
A182;6003;62724;Piazza;Giovanni Palatucci;15121;Norberto Rosa
A182;6003;14300;Piazza;Giovanni Ventitreesimo;15121;Centro
A182;6003;36102;Piazza;Giuseppe Belleno;15122;Cascinagrossa
A182;6003;13503;Piazza;Giuseppe Garibaldi;15121;Centro
A182;6003;16904;Piazza;Guglielmo Marconi;15121;Centro
A182;6003;100030;Piazza;Guido Gonella;15121;Norberto Rosa
A182;6003;23100;Piazza;Lorenzo Perosi;15121;Orti
A182;6003;8503;Piazza;Luigi Ceriana;15121;Cristo
A182;6003;62703;Piazza;Madre Teresa Di Calcutta;15121;Centro
A182;6003;62776;Piazza;Marinai D'Italia;15121;Centro
A182;6003;10203;Piazza;Massimo D'Azeglio;15121;Centro
A182;6003;62733;Piazza;Mayno Della Spinetta;15122;Spinetta Marengo
A182;6003;18502;Piazza;Mentana;15121;Pista
A182;6003;62735;Piazza;Natale Vazzana;15122;Spinetta Marengo
